# Coinbase — every documented endpoint, enumerated 2026-08-31
#
# Method and path read from each page's own `pageMetadata.openapi` field.
# derivatives-api and Deribit publish specs instead; those are listed from the spec.
# page<TAB>METHOD path

exchange-api/rest-api/transfers/deposit-from-coinbase-account	POST /deposits/coinbase-account
exchange-api/rest-api/transfers/deposit-from-payment-method	POST  /deposits/payment-method
exchange-api/rest-api/transfers/get-all-payment-methods	GET /payment-methods
exchange-api/rest-api/transfers/get-all-transfers	GET /transfers
exchange-api/rest-api/transfers/get-fee-estimate	GET /withdrawals/fee-estimate
exchange-api/rest-api/transfers/get-single-transfer	GET /transfers/{transfer_id}
exchange-api/rest-api/transfers/submit-travel-info	POST /transfers/{transfer_id}/travel-rules
exchange-api/rest-api/transfers/withdraw-to-coinbase-account	POST /withdrawals/coinbase-account
exchange-api/rest-api/transfers/withdraw-to-counterparty	post /withdrawals/counterparty
exchange-api/rest-api/transfers/withdraw-to-crypto-address	POST /withdrawals/crypto
exchange-api/rest-api/transfers/withdraw-to-payment-method	POST /withdrawals/payment-method
exchange-api/rest-api/travel-rules/create-travel-rule	POST /travel-rules
exchange-api/rest-api/travel-rules/delete-existing-travel-rule	DELETE /travel-rules/{id}
exchange-api/rest-api/travel-rules/get-all-travel-rule	GET /travel-rules
exchange-api/rest-api/users/get-user-exchange-limits	GET /users/{user_id}/exchange-limits
exchange-api/rest-api/users/get-user-trading-volume	GET /users/{user_id}/trading-volumes
exchange-api/rest-api/users/update-settlement-preference	POST /users/{user_id}/settlement-preferences
exchange-api/rest-api/wrapped-assets/create-new-redeem	POST /wrapped-assets/redeem
exchange-api/rest-api/wrapped-assets/create-new-stake-wrap	POST /wrapped-assets/stake-wrap
exchange-api/rest-api/wrapped-assets/get-a-single-stake-wrap	GET /wrapped-assets/stake-wrap/{stake_wrap_id}
exchange-api/rest-api/wrapped-assets/get-all-redeems	GET  /wrapped-assets/redeem
exchange-api/rest-api/wrapped-assets/get-all-stake-wraps	GET /wrapped-assets/stake-wrap
exchange-api/rest-api/wrapped-assets/get-all-wrapped-assets	GET /wrapped-assets
exchange-api/rest-api/wrapped-assets/get-single-redeem	GET /wrapped-assets/redeem/{redeem_id}
exchange-api/rest-api/wrapped-assets/get-wrapped-asset-conversion-rate	GET /wrapped-assets/{wrapped_asset_id}/conversion-rate
exchange-api/rest-api/wrapped-assets/get-wrapped-asset-details	GET /wrapped-assets/{wrapped_asset_id}
international-exchange-api/rest-api/address-book/get-address-book	GET /api/v1/address-book
international-exchange-api/rest-api/assets/get-asset-details	GET /api/v1/assets/{asset}
international-exchange-api/rest-api/assets/get-supported-networks	GET /api/v1/assets/{asset}/networks
international-exchange-api/rest-api/assets/list-assets	GET /api/v1/assets
international-exchange-api/rest-api/fee-rates/list-fee-rate-tiers	GET /api/v1/fee-rate-tiers
international-exchange-api/rest-api/index/get-index-candles	GET /api/v1/index/{index}/candles
international-exchange-api/rest-api/index/get-index-composition	GET  /api/v1/index/{index}/composition
international-exchange-api/rest-api/index/get-index-composition-history	GET  /api/v1/index/{index}/composition-history
international-exchange-api/rest-api/index/get-index-price	GET /api/v1/index/{index}/price
